AuthorID,Author_about
A100000384,Jack Kerouac Jack Kerouac was born Jean-Louis Lebris de Kerouac
A100000385,Frank Herbert Frank Herbert was a critically acclaimed and comme
A100000386,Chuck Palahniuk Written in stolen moments under truck chassis and 
A100000387,Ken Follett Ken Follett is one of the world’s most successful 
A100000388,"Umberto Eco Umberto Eco was an Italian writer of fiction, essa"
A100000389,Frances Hodgson Burnett Frances Eliza Hodgson was the daughter of ironmong
A100000390,Maurice Sendak Maurice Bernard Sendak was an American writer and 
A100000391,Milan Kundera Milan Kundera is a Czech and French writer of Czec
A100000392,Franz Kafka  was one of the major fiction writers of the 20th 
A100000393,"Alice Walker Alice Walker, one of the United States’ preeminent"
A100000394,"L.M. Montgomery Montgomery was a Canadian author, best known for a"
A100000395,Truman Capote Truman Capote was an American writer whose non-fic
A100000396,Paulo Coelho The Brazilian author PAULO COELHO was born in 1947
A100000397,"Sylvia Plath Sylvia Plath was an American poet, novelist, and s"
A100000398,Gabriel García Márquez Gabriel José de la Concordia Garcí­a Márquez was a
A100000399,Elie Wiesel Eliezer Wiesel was a Romania-born American novelis
A100000400,Betty  Smith Betty Smith (AKA Sophina Elisabeth Wehner): Born- 
A100000401,"Barbara Kingsolver Barbara Kingsolver is an American novelist, essayi"
A100000402,Orson Scott Card Orson Scott Card is the author of the novels Ender
A100000403,"Richard  Adams Adams was born in Newbury, Berkshire. From 1933 un"
A100000404,Madeleine L'Engle Madeleine L'Engle was an American writer best know
A100000405,"Anne Frank  Annelies Marie ""Anne"" Frank was a Jewish girl bor"
A100000406,"Ray Bradbury American novelist, short story writer, essayist, p"
A100000407,"George Orwell George Orwell, better known by his pen name , was "
A100000408,Aldous Huxley Aldous Leonard Huxley was an English writer and on
A100000409,Rick Riordan Rick Riordan is the #1  bestselling author of many
A100000410,"Ian McEwan Ian McEwan was born on 21 June 1948 in Aldershot, "
A100000411,"Jodi Picoult Jodi Picoult is the author of twenty-three novels,"
A100000412,"Sue Monk Kidd Sue was raised in the small town of Sylvester, Geo"
A100000413,Carlos Ruiz Zafón Carlos Ruiz Zafón is a Spanish novelist. Born in B
A100000414,Jonathan Safran Foer Jonathan Safran Foer is the author of two bestsell
A100000415,"Cassandra Clare Hello Goodreadsers. Here's my official bio:""Cassan"
A100000416,Veronica Roth Veronica Roth is the #1 New York Times bestselling
A100000417,Jeffrey Eugenides Jeffrey Kent Eugenides is an American Pulitzer Pri
A100000418,"Stephenie Meyer I was born in Connecticut in 1973, during a brief "
A100000419,Alice Sebold Alice Sebold is an American writer. She has publis
A100000420,Jeannette Walls Jeannette Walls is a writer and journalist.Born in
A100000421,"Suzanne Collins Since 1991, Suzanne Collins has been busy writing "
A100000422,John Boyne John Boyne (born 30 April 1971 in Dublin) is an Ir
A100000423,Geraldine Brooks Australian-born Geraldine Brooks is an author and 
A100000424,Neil Gaiman 
A100000425,James Frey James Christopher Frey is an American author and e
A100000426,Christopher Hitchens Christopher Eric Hitchens was an English-born Amer
A100000427,Joan Didion Joan Didion was born in California and lives in Ne
A100000428,"John Green John Green's first novel, , won the 2006 Michael L"
A100000429,Lynne Truss Lynne Truss is a writer and journalist who started
A100000430,David McCullough David McCullough has twice received the Pulitzer P
A100000431,Richard Russo RICHARD RUSSO is the author of seven previous nove
A100000432,David Sedaris David Sedaris is a Grammy Award-nominated American
A100000433,Aravind Adiga Aravind Adiga was born in 1974 in Madras (now call
A100000434,Nicole Krauss Nicole Krauss is the author of the international b
A100000435,"Dave Eggers Dave Eggers is the author of ten books, including "
A100000436,"Michael Pollan Michael Pollan is an American author, journalist, "
A100000437,Laura Hillenbrand Laura Hillenbrand (born 1967) is the author of the
A100000438,"Marilynne Robinson Her 1980 novel, Housekeeping, won a Hemingway Foun"
A100000439,"David Wroblewski David Wroblewski grew up in rural Wisconsin, not f"
A100000440,"Ki Longfellow Ki Longfellow, born on Staten Island, New York, to"
A100000441,"Tatiana de Rosnay ""Manderley Forever"", my biography of Daphne du Mau"
A100000442,William Paul Young Wm. Paul Young is a Canadian author. Young was the
A100000443,"Malcolm Gladwell Malcolm Gladwell is a United Kingdom-born, Canadia"
A100000444,Richelle Mead Scorpio Richelle Mead is a New York Times and USA 
A100000445,Christopher Moore Christopher Moore is an American writer of absurdi
A100000446,Richard Dawkins 
A100000447,Michel Faber Michel Faber (born 13 April 1960) is a Dutch write
A100000448,Deborah Harkness My life has been a series of left turns that never
A100000449,Nicholas Sparks Nicholas Sparks is one of the world’s most beloved
A100000450,Libba Bray What is it about writing an author bio that gives 
A100000451,Mary Roach Mary Roach is the author of the New York Times bes
A100000452,Orhan Pamuk Orhan Pamuk was born in Istanbul in 1952 and grew 
A100000453,"Kia Carrington-Russell Kia is a Token, no, she is THE Token of Vampire & "
A100000454,"Dean Koontz Acknowledged as ""America's most popular suspense n"
A100000455,Susanna Clarke Susanna Clarke was born in Nottingham in 1959. A n
A100000456,"Doris Kearns Goodwin Also credited as ""Doris Kearns"" on the first editi"
A100000457,Patrick Rothfuss It all began when Pat Rothfuss was born to a marve
A100000458,Åsne Seierstad Asne Seierstad has received numerous awards for he
A100000459,"Greg Mortenson Greg Mortenson is the co-founder of nonprofit , , "
A100000460,John Ajvide Lindqvist John Ajvide Lindqvist (John Erik Ajvide Lindqvist)
A100000461,"Chuck Klosterman Charles John ""Chuck"" Klosterman is an American pop"
A100000462,Chimamanda Ngozi Adichie Chimamanda Ngozi Adichie is a Nigerian author. Her
A100000463,Ally Condie Ally Condie is a former high school English teache
A100000464,"C.J. Sansom Christopher John ""C.J."" Sansom is an English write"
A100000465,"Patricia Briggs Patricia Briggs was born in Butte, Montana to a ch"
A100000466,Lawrence Hill Hill is the author of ten books of fiction and non
A100000467,James Patterson James Patterson has created more enduring fictiona
A100000468,Neal Stephenson Neal Stephenson is the author of  and the three-vo
A100000469,"Irène Némirovsky Irène Némirovsky (born February 11, 1903, Kiev, di"
A100000470,"Christopher Paolini Christopher Paolini was born on November 17, 1983 "
A100000471,"Sherman Alexie Sherman J. Alexie, Jr., was born in October 1966. "
A100000472,Charlaine Harris Charlaine Harris has been a published novelist for
A100000473,E.L. James All you need to know should be on here: Please com
A100000474,"Kim Edwards Kim Edwards grew up in Skaneateles, New York, in t"
A100000475,Lauren Oliver Lauren Oliver is the cofounder of media and conten
A100000476,Kate Atkinson Kate Atkinson was born in York and now lives in Ed
A100000477,"Julie Powell Julie Powell was born and raised in Austin, Texas,"
A100000478,"Roberto Bolaño For most of his early adulthood, Bolaño was a vaga"
A100000479,J.R. Ward J.R. Ward is the #1 New York Times bestselling aut
A100000480,Kelley Armstrong Kelley Armstrong has been telling stories since be
A100000481,Rainbow Rowell Rainbow Rowell writes books. Sometimes she writes 
A100000482,Kristin Hannah Kristin Hannah is the award-winning and bestsellin
A100000483,Nathaniel Philbrick Philbrick was Brown’s first Intercollegiate All-Am
A100000484,"David Mitchell David Mitchell was born in Southport, Merseyside, "
A100000485,"Patrick Ness Patrick Ness, an award-winning novelist, has writt"
A100000486,"Craig Thompson Craig Ringwalt Thompson (b. September 21, 1975 in "
A100000487,"Harlan Coben With over 60 million books in print worldwide, Har"
A100000488,"John Connolly John Connolly was born in Dublin, Ireland in 1968 "
A100000489,"Jonas Jonasson After a long career as a journalist, media consult"
A100000490,"Ann Brashares Ann Brashares grew up in Chevy Chase, Maryland, wi"
A100000491,Ron Hall While my daddy was fightin´ the big war in the Pac
A100000492,Sam Harris Sam Harris (born 1967) is an American non-fiction 
A100000493,Julian Barnes Julian Patrick Barnes is a contemporary English wr
A100000494,"Sarah Dunant Sarah Dunant is a cultural commentator, award-winn"
A100000495,David Benioff David Benioff worked as a nightclub bouncer in San
A100000496,Laini Taylor Hi! I write fantasy books. My latest is STRANGE TH
A100000497,Lisa Genova Acclaimed as the Oliver Sacks of fiction and the M
A100000498,"Marissa Meyer I live in Tacoma, Washington, with my husband and "
A100000499,"Robert Fanney Robert Fannéy was born on November 4, 1972 in Sout"
A100000500,Nancy Horan Nancy Horan is a writer and a journalist whose wor
A100000501,Lisa See Lisa See is a Chinese-American author. Her books i
A100000502,"Stephen Colbert Stephen Tyrone Colbert is an American comedian, sa"
A100000503,"Tana French Tana French grew up in Ireland, Italy, the US and "
A100000504,Kami Garcia Kami Garcia is the #1 New York Times & USA Today b
A100000505,Sarah J. Maas Sarah J. Maas is the New York Times and USA Today 
A100000506,Hilary Mantel Hilary Mantel is the bestselling author of many no
A100000507,Pittacus Lore Pittacus Lore is Lorien’s ruling Elder. He has bee
A100000508,"T. Rafael Cimino T. Rafael Cimino (born Todd Rafael Cimino, June 4t"
A100000509,"Emma McLaughlin My partner, Nicki, and I have been writing togethe"
A100000510,Paula Hawkins Paula Hawkins is the author of the #1 New York Tim
A100000511,Per Petterson Petterson knew from the age of 18 that he wanted t
A100000512,Vicki Myron I was born in Spencer and grew up on a farm south 
A100000513,Donna Tartt Donna Tartt is an American writer who received cri
A100000514,Ishmael Beah Ishmael Beah was born in Sierra Leone in 1980. He 
A100000515,D.B.C. Pierre DBC Pierre is an Australian-born writer currently 
A100000516,"Kate DiCamillo Kate DiCamillo, the newly named National Ambassado"
A100000517,Alan Brennert Alan Brennert is the author of the historical nove
A100000518,"Andrew Davidson Andrew Davidson is the author of , which came out "
A100000519,Gayle Forman Award-winning author and journalist Gayle Forman h
A100000520,Maggie Stiefvater New York Times bestselling author of The Shiver Tr
A100000521,"Lauren Kate Lauren Kate grew up in Dallas, went to school in A"
A100000522,Brandon Sanderson Brandon’s major books for the second half of 2016 
A100000523,Cecelia Ahern Cecelia Ahern was born and grew up in Dublin. She 
A100000524,"Sarah Vowell Sarah Jane Vowell is an American author, journalis"
A100000525,Joshua Ferris Joshua Ferris is the author of novels Then We Came
A100000526,"David Nicholls David Nicholls is a British author, screenwriter, "
A100000527,Sarah Waters Sarah Waters is a British novelist. She is best kn
A100000528,"Dennis Lehane Dennis Lehane (born Aug 4th, 1966) is an American "
A100000529,Kate Morton KATE MORTON grew up in the mountains of south-east
A100000530,Jasper Fforde Jasper Fforde is a novelist living in Wales. He is
A100000531,Chris Cleave Chris Cleave was born in London and spent his earl
A100000532,"Justin Cronin In 2010, Justin Cronin’s The Passage was a phenome"
A100000533,"Jamie Ford Jamie Ford’s debut novel, , spent two years on the"
A100000534,"Ransom Riggs Hi, I'm Ransom, and I like to tell stories. Someti"
A100000535,Eric Schlosser Eric Schlosser is an award-winning American journa
A100000536,Brian Selznick Hello there. My name is Brian Selznick and I’m the
A100000537,Colum McCann Colum McCann is the author of two collections of s
A100000538,Cornelia Funke Cornelia Funke is a multiple award-winning German 
A100000539,Scott Westerfeld Scott Westerfeld is a New York Times bestselling a
A100000540,Barbara Ehrenreich Barbara Ehrenreich is an American journalist and t
A100000541,Jojo Moyes Jojo Moyes is a British novelist.Moyes studied at 
A100000542,Becca Fitzpatrick Becca Fitzpatrick grew up reading Nancy Drew and T
A100000543,Philip Roth Philip Milton Roth is an American novelist. He gai
A100000544,"Elizabeth Strout Elizabeth Strout is the author of several novels, "
A100000545,"Augusten Burroughs Augusten Burroughs born Christopher Robison, son o"
A100000546,"Azar Nafisi Azar Nafisi, Ph.D. (Persian: آذر نفیسی) (born Dece"
A100000547,"Leif Enger Leif Enger was raised in Osakis, Minnesota, and wo"
A100000548,Jennifer Egan Jennifer Egan was born in Chicago and raised in Sa
A100000549,Randy Pausch RandyRandy Pausch was a Professor of Computer Scie
A100000550,Max Brooks Max Brooks is The New York Times bestselling autho
A100000551,James Dashner James is the author of THE MAZE RUNNER trilogy and
A100000552,"Jay Asher Jay Asher was born in Arcadia, California on Septe"
A100000553,Stieg Larsson Stieg (born as ) was a Swedish journalist and writ
A100000554,"Gregory David Roberts Gregory David Roberts is an Australian author, mos"
A100000555,Andy Weir ANDY WEIR built a career as a software engineer un
A100000556,"Kristin Cashore So, here's the short tale of me: I grew up in the "
A100000557,"Jonathan Franzen Jonathan Franzen is the author of , winner of the "
A100000558,Lionel Shriver Lionel Shriver's novels include the  bestseller  a
A100000559,"Edward P. Jones Edward P. Jones has won the Pulitzer Prize, the Na"
A100000560,Zadie Smith Zadie Smith is the author of the novels White Teet
A100000561,"Tim Butcher Tim Butcher is a best-selling British author, jour"
A100000562,Rebecca Skloot Rebecca Skloot is an award winning science writer 
A100000563,"Ernest Cline ERNEST CLINE is a novelist, screenwriter, father, "
A100000564,Muriel Barbery Muriel Barbery is a French novelist and professor 
A100000565,"Abraham Verghese Abraham Verghese, MD, MACP, is Professor for the T"
A100000566,"Mitch Albom Mitch Albom is an author, journalist, screenwriter"
A100000567,"Bill Bryson William McGuire ""Bill"" Bryson, OBE, FRS was born i"
A100000568,Gillian Flynn Gillian Flynn is an American author and television
A100000569,Marjane Satrapi Marjane Satrapi (Persian: مرجان ساتراپی) is an Ira
A100000570,Erin Morgenstern Erin Morgenstern is a writer and a multimedia arti
A100000571,Garth Stein Garth Stein is the author of four novels: the New 
A100000572,Elizabeth Kostova Elizabeth Z. Johnson Kostova was born Elizabeth Z.
A100000573,"Ann Patchett Patchett was born in Los Angeles, California. Her "
A100000574,John Grogan John Grogan has spent more than 25 years as a news
A100000575,"Steven D. Levitt Steven David ""Steve"" Levitt is a prominent America"
A100000576,Junot Díaz Junot Díaz was born in the Dominican Republic and 
A100000577,Philippa Gregory Philippa Gregory was an established historian and 
A100000578,Jon Krakauer Jon Krakauer is an American writer and mountaineer
A100000579,Emma Donoghue Emma is the youngest of eight children of Frances 
A100000580,Elizabeth Gilbert  is an award-winning writer of both fiction and no
A100000581,"Mary Ann Shaffer Mary Ann Shaffer worked as an editor, a librarian,"
A100000582,"Mark Haddon Mark Haddon is a British novelist and poet, best k"
A100000583,"Erik Larson Erik Larson, author of the international bestselle"
A100000584,Kazuo Ishiguro Kazuo Ishiguro (カズオ・イシグロ or 石黒 一雄) is a British no
A100000585,"Khaled Hosseini Hosseini was born in Kabul, Afghanistan, in 1965. "
A100000586,Sara Gruen Sara Gruen is the #1 New York Times and USA Today 
A100000587,Diane Setterfield “…a mistress of the craft of storytelling.”The Gua
A100000588,Markus Zusak Markus Zusak was born in 1975 and is the author of
A100000589,"Kathryn Stockett Kathryn Stockett was born and raised in Jackson, M"
A100000590,"Yann Martel Yann Martel is the author of , the #1 internationa"
